,detrator,neutro,promotor
2022,8 (10.53%),22 (28.95%),46 (60.53%)
2023,14 (5.02%),67 (24.01%),198 (70.97%)
2024,6 (9.52%),6 (9.52%),51 (80.95%)
total,28 (6.7%),95 (22.73%),295 (70.57%)
