região;nps;Contagem
Centro-Oeste;detrator;48
Centro-Oeste;neutro;62
Centro-Oeste;promotor;301
Nordeste;detrator;11
Nordeste;neutro;38
Nordeste;promotor;190
Norte;detrator;16
Norte;neutro;28
Norte;promotor;124
Outro;detrator;30
Outro;neutro;54
Outro;promotor;203
Sudeste;detrator;71
Sudeste;neutro;147
Sudeste;promotor;468
Sul;detrator;91
Sul;neutro;192
Sul;promotor;564
