,detrator,neutro,promotor
2022,2 (10.0%),7 (35.0%),11 (55.0%)
2023,29 (23.58%),31 (25.2%),63 (51.22%)
2024,16 (17.98%),15 (16.85%),58 (65.17%)
total,47 (20.26%),53 (22.84%),132 (56.9%)
