,detrator,neutro,promotor
2022,110 (6.04%),308 (16.92%),1402 (77.03%)
2023,95 (5.58%),284 (16.69%),1323 (77.73%)
2024,54 (5.58%),149 (15.39%),765 (79.03%)
total,259 (5.77%),741 (16.5%),3490 (77.73%)
