região;nps;Contagem
Centro-Oeste;detrator;38
Centro-Oeste;neutro;51
Centro-Oeste;promotor;133
Nordeste;detrator;3
Nordeste;neutro;4
Nordeste;promotor;19
Norte;detrator;4
Norte;neutro;25
Norte;promotor;40
Outro;detrator;14
Outro;neutro;44
Outro;promotor;134
Sudeste;detrator;48
Sudeste;neutro;79
Sudeste;promotor;259
Sul;detrator;123
Sul;neutro;216
Sul;promotor;696
