região;nps;Contagem
Centro-Oeste;detrator;16
Centro-Oeste;neutro;25
Centro-Oeste;promotor;99
Nordeste;detrator;15
Nordeste;neutro;31
Nordeste;promotor;131
Norte;detrator;1
Norte;neutro;9
Norte;promotor;44
Outro;detrator;23
Outro;neutro;45
Outro;promotor;94
Sudeste;detrator;107
Sudeste;neutro;174
Sudeste;promotor;607
Sul;detrator;39
Sul;neutro;73
Sul;promotor;260
