região;nps;Contagem
Centro-Oeste;detrator;72
Centro-Oeste;neutro;183
Centro-Oeste;promotor;764
Nordeste;detrator;7
Nordeste;neutro;27
Nordeste;promotor;106
Norte;detrator;10
Norte;neutro;26
Norte;promotor;130
Outro;detrator;25
Outro;neutro;91
Outro;promotor;330
Sudeste;detrator;77
Sudeste;neutro;195
Sudeste;promotor;1115
Sul;detrator;68
Sul;neutro;219
Sul;promotor;1045
