Variável;Correlação
ergonomia (csat);0.9999999999999999
facilidad para realizar el mantenimiento (csat);0.9999999999999999
conforto (csat);0.9999999999999999
confiabilidade mecânica (csat);0.9999999999999999
disponibilidade mecânica (csat);0.9999999999999999
facilidad de operación (csat);0.9890707100936804
adaptabilidad a las más diversas condiciones de trabajo (csat);0.9565217391304348
disponibilidad mecánica y fiabilidad (csat);0.8361631407530257
idoneidad para diferentes operaciones e implementos (csat);0.8361631407530257
costo de mantenimiento (csat);0.8029550685469662
