região;nps;Contagem
Centro-Oeste;detrator;16
Centro-Oeste;neutro;45
Centro-Oeste;promotor;153
Nordeste;detrator;1
Nordeste;neutro;3
Nordeste;promotor;21
Norte;detrator;1
Norte;neutro;9
Norte;promotor;24
Outro;detrator;5
Outro;neutro;5
Outro;promotor;27
Sudeste;detrator;5
Sudeste;neutro;21
Sudeste;promotor;43
Sul;neutro;12
Sul;promotor;27
