safra;detrator;neutro;promotor;Total
2022;93 (1.83%);380 (7.47%);1502 (29.54%);1975
2023;93 (1.83%);353 (6.94%);1459 (28.69%);1905
2024;71 (1.4%);216 (4.25%);918 (18.05%);1205
Total;257 (5.05%);949 (18.66%);3879 (76.28%);5085
