modelo;variavel;importancia
XGBoost_Detrator_12 a 18 M;adequação as diversas operações e implementos (csat);0.06962258
XGBoost_Detrator_12 a 18 M;conforto e ergonomia (csat);0.046628706
XGBoost_Detrator_12 a 18 M;geração e transmissão de dados para gestão agrícola (csat);0.039879736
XGBoost_Detrator_12 a 18 M;consumo de combustível (litros por hectares) (csat);0.03608691
XGBoost_Detrator_12 a 18 M;geração e transmissão de dados para gestão da frota (csat);0.03537658
XGBoost_Neutro_12 a 18 M;disponibilidade e confiabilidade mecânica  (csat);0.22720882
XGBoost_Neutro_12 a 18 M;capacidade operacional (hectares por hora) (csat);0.17558481
XGBoost_Neutro_12 a 18 M;adaptabilidade as mais diversas condições de trabalho (csat);0.091251366
XGBoost_Neutro_12 a 18 M;facilidade de operação (csat);0.0721388
XGBoost_Neutro_12 a 18 M;adequação as diversas operações e implementos (csat);0.07129715
XGBoost_Neutro_12 a 18 M;custo de manutenção (csat);0.07057947
XGBoost_Neutro_12 a 18 M;facilidade para realização de manutenções (csat);0.068566285
XGBoost_Neutro_12 a 18 M;conforto e ergonomia (csat);0.064664386
XGBoost_Neutro_12 a 18 M;geração e transmissão de dados para gestão da frota (csat);0.057884376
XGBoost_Neutro_12 a 18 M;consumo de combustível (litros por hectares) (csat);0.052907944
XGBoost_Promotor_12 a 18 M;facilidade de operação (csat);0.27278036
XGBoost_Promotor_12 a 18 M;disponibilidade e confiabilidade mecânica  (csat);0.1951208
XGBoost_Promotor_12 a 18 M;capacidade operacional (hectares por hora) (csat);0.15575941
XGBoost_Promotor_12 a 18 M;adaptabilidade as mais diversas condições de trabalho (csat);0.062342815
XGBoost_Promotor_12 a 18 M;facilidade para realização de manutenções (csat);0.058171626
XGBoost_Promotor_12 a 18 M;custo de manutenção (csat);0.05369893
XGBoost_Promotor_12 a 18 M;adequação as diversas operações e implementos (csat);0.046796344
XGBoost_Promotor_12 a 18 M;conforto e ergonomia (csat);0.045895167
XGBoost_Promotor_12 a 18 M;geração e transmissão de dados para gestão da frota (csat);0.038550828
XGBoost_Promotor_12 a 18 M;consumo de combustível (litros por hectares) (csat);0.03802968
XGBoost_Detrator_18 a 30 M;facilidade para realização de manutenções (csat);0.33755535
XGBoost_Detrator_18 a 30 M;facilidade de operação (csat);0.16106798
XGBoost_Detrator_18 a 30 M;disponibilidade e confiabilidade mecânica  (csat);0.14236839
XGBoost_Detrator_18 a 30 M;adequação as diversas operações e implementos (csat);0.08113621
XGBoost_Detrator_18 a 30 M;capacidade operacional (hectares por hora) (csat);0.07576681
XGBoost_Detrator_18 a 30 M;adaptabilidade as mais diversas condições de trabalho (csat);0.04649525
XGBoost_Detrator_18 a 30 M;geração e transmissão de dados para gestão da frota (csat);0.034121256
XGBoost_Detrator_18 a 30 M;geração e transmissão de dados para gestão agrícola (csat);0.033375617
XGBoost_Detrator_18 a 30 M;custo de manutenção (csat);0.031784277
XGBoost_Detrator_18 a 30 M;conforto e ergonomia (csat);0.029148124
XGBoost_Neutro_18 a 30 M;facilidade de operação (csat);0.24387304
XGBoost_Neutro_18 a 30 M;facilidade para realização de manutenções (csat);0.1330147
XGBoost_Neutro_18 a 30 M;disponibilidade e confiabilidade mecânica  (csat);0.12852323
XGBoost_Neutro_18 a 30 M;capacidade operacional (hectares por hora) (csat);0.10444698
XGBoost_Neutro_18 a 30 M;adaptabilidade as mais diversas condições de trabalho (csat);0.0670389
XGBoost_Neutro_18 a 30 M;geração e transmissão de dados para gestão agrícola (csat);0.057317514
XGBoost_Neutro_18 a 30 M;geração e transmissão de dados para gestão da frota (csat);0.056012254
XGBoost_Neutro_18 a 30 M;adequação as diversas operações e implementos (csat);0.054515153
XGBoost_Neutro_18 a 30 M;conforto e ergonomia (csat);0.053645853
XGBoost_Neutro_18 a 30 M;consumo de combustível (litros por hectares) (csat);0.05099218
XGBoost_Promotor_18 a 30 M;facilidade de operação (csat);0.41674444
XGBoost_Promotor_18 a 30 M;facilidade para realização de manutenções (csat);0.12807341
XGBoost_Promotor_18 a 30 M;disponibilidade e confiabilidade mecânica  (csat);0.12054883
XGBoost_Promotor_18 a 30 M;capacidade operacional (hectares por hora) (csat);0.07309661
