região;nps;Contagem
Centro-Oeste;detrator;38
Centro-Oeste;neutro;38
Centro-Oeste;promotor;78
Nordeste;detrator;2
Nordeste;neutro;10
Nordeste;promotor;21
Norte;detrator;2
Norte;neutro;1
Norte;promotor;8
Outro;detrator;2
Outro;neutro;4
Outro;promotor;20
Sudeste;detrator;3
Sudeste;promotor;3
Sul;promotor;2
