safra;detrator;neutro;promotor;Total
2022;65 (3.54%);158 (8.62%);494 (26.94%);717
2023;74 (4.03%);182 (9.92%);551 (30.04%);807
2024;31 (1.69%);63 (3.44%);216 (11.78%);310
Total;170 (9.27%);403 (21.97%);1261 (68.76%);1834
