região;nps;Contagem
Centro-Oeste;detrator;41
Centro-Oeste;neutro;58
Centro-Oeste;promotor;173
Nordeste;detrator;3
Nordeste;neutro;7
Nordeste;promotor;39
Norte;detrator;10
Norte;neutro;8
Norte;promotor;18
Outro;detrator;9
Outro;neutro;21
Outro;promotor;45
Sudeste;detrator;22
Sudeste;neutro;53
Sudeste;promotor;145
Sul;detrator;20
Sul;neutro;31
Sul;promotor;78
