região;nps;Contagem
Centro-Oeste;detrator;26
Centro-Oeste;neutro;37
Centro-Oeste;promotor;168
Nordeste;detrator;1
Nordeste;neutro;14
Nordeste;promotor;23
Norte;neutro;15
Norte;promotor;26
Outro;detrator;7
Outro;neutro;7
Outro;promotor;19
Sudeste;detrator;6
Sudeste;neutro;9
Sudeste;promotor;42
Sul;detrator;10
Sul;neutro;9
Sul;promotor;38
