safra;detrator;neutro;promotor;Total
2022;7 (1.67%);23 (5.5%);46 (11.0%);76
2023;11 (2.63%);70 (16.75%);198 (47.37%);279
2024;4 (0.96%);8 (1.91%);51 (12.2%);63
Total;22 (5.26%);101 (24.16%);295 (70.57%);418
