,detrator,neutro,promotor
2022,13 (9.85%),32 (24.24%),87 (65.91%)
2023,53 (14.1%),87 (23.14%),236 (62.77%)
2024,39 (14.29%),59 (21.61%),175 (64.1%)
total,105 (13.44%),178 (22.79%),498 (63.76%)
