,detrator,neutro,promotor
2022,69 (13.64%),123 (24.31%),314 (62.06%)
2023,110 (11.78%),192 (20.56%),632 (67.67%)
2024,51 (10.41%),104 (21.22%),335 (68.37%)
total,230 (11.92%),419 (21.71%),1281 (66.37%)
