,detrator,neutro,promotor
2022,231 (7.05%),601 (18.35%),2444 (74.6%)
2023,174 (6.58%),427 (16.14%),2044 (77.28%)
2024,106 (7.38%),239 (16.63%),1092 (75.99%)
total,511 (6.94%),1267 (17.22%),5580 (75.84%)
