região;nps;Contagem
Centro-Oeste;detrator;44
Centro-Oeste;neutro;92
Centro-Oeste;promotor;457
Nordeste;detrator;24
Nordeste;neutro;55
Nordeste;promotor;344
Norte;detrator;14
Norte;neutro;36
Norte;promotor;168
Outro;detrator;57
Outro;neutro;130
Outro;promotor;458
Sudeste;detrator;182
Sudeste;neutro;436
Sudeste;promotor;1999
Sul;detrator;190
Sul;neutro;518
Sul;promotor;2154
