safra;detrator;neutro;promotor;Total
2022;189 (2.54%);647 (8.68%);2447 (32.82%);3283
2023;144 (1.93%);470 (6.3%);2055 (27.57%);2669
2024;104 (1.4%);273 (3.66%);1126 (15.1%);1503
Total;437 (5.86%);1390 (18.65%);5628 (75.49%);7455
