,detrator,neutro,promotor
2022,75 (13.09%),146 (25.48%),352 (61.43%)
2023,104 (9.77%),210 (19.72%),751 (70.52%)
2024,88 (8.8%),165 (16.5%),747 (74.7%)
total,267 (10.12%),521 (19.75%),1850 (70.13%)
