safra;detrator;neutro;promotor;Total
2022;13 (2.81%);25 (5.41%);75 (16.23%);113
2023;16 (3.46%);53 (11.47%);142 (30.74%);211
2024;13 (2.81%);23 (4.98%);102 (22.08%);138
Total;42 (9.09%);101 (21.86%);319 (69.05%);462
