,detrator,neutro,promotor
2022,75 (10.46%),148 (20.64%),494 (68.9%)
2023,92 (11.62%),159 (20.08%),541 (68.31%)
2024,34 (11.97%),50 (17.61%),200 (70.42%)
total,201 (11.21%),357 (19.91%),1235 (68.88%)
