,detrator,neutro,promotor
2022,13 (11.5%),25 (22.12%),75 (66.37%)
2023,22 (10.43%),47 (22.27%),142 (67.3%)
2024,15 (11.28%),19 (14.29%),99 (74.44%)
total,50 (10.94%),91 (19.91%),316 (69.15%)
