1KN;PRAÇA TIRADENTE - BANCA ENTRE OS TUBOS (BANCA 70) - CURITIBA;PR;M.PR.1KN;CURITIBA - PRAÇA TIRADENTES SMALL CELL 1;;;
1KY;PRACA RUI BARBOSA -  S/N;PR;M.PR.1KY;CURITIBA - PRAÇA RUY BARBOSA SMALL CELL 1;;;
K2B;RUA JOSÉ DE OLIVEIRA FRANCO - 121;PR;M.PR.K2B;CURITIBA - BAIRRO ALTO 2;;;
1KB;ALAMEDA ECOLOGICA BURLE MARX -  S/N;PR;M.PR.1KB;CURITIBA - PARQUE BARIGUI SMALL CELL 1;;;
K3A;RUA GENERAL MÁRIO TOURINHO -  1215 - SEMINÁRIO;PR;M.PR.K3A;CURITIBA - GEN MÁRIO TOURINHO;;;
K3I;AVENIDA FREDOLIN WOLF -  520 - PILARZINHO;PR;M.PR.K3I;CURITIBA - FREDOLIN WOLF;;;
K3L;RUA BRUNO FILGUEIRA -  2470  - BIGORRILHO;PR;M.PR.K3L;CURITIBA - BRUNO FILGUEIRA;;;
K3M;RUA RIO JURUÁ -  11 - ATUBA;PR;M.PR.K3M;CURITIBA -  RIO JURUA;;;
K2H;AVENIDA VICTOR FERREIRA DO AMARAL - 247;PR;M.PR.K2H;CURITIBA - FREI ORLANDO;;;
K0X;RUA MERCHID BELICH - 46;PR;M.PR.K0X;CURITIBA - MERCHID BELICH;;;
K0Y;RUA FRANCISCO CARON - 264;PR;M.PR.K0Y;CURITIBA - FRANCISCO CARON;;;
K1E;RUA SÃO JOAQUIM - 161;PR;M.PR.K1E;CURITIBA - SAO JOAQUIM;;;
K1P;RUA DEPUTADO CHAFIC CURI - 340;PR;M.PR.K1P;CURITIBA - DEPUTADO CHAFIC CURI;;;
K3C;RUA SCHILLER - 1797;PR;M.PR.K3C;CURITIBA - HUMBERTO CARTA;;;
K3K;RUA DAVID CARNEIRO - 181;PR;M.PR.K3K;CURITIBA - MATEUS LEME;;;
K0K;RUA MIGUEL BRENNER -  199-1 - SEMINÁRIO;PR;M.PR.K0K;CURITIBA - MIGUEL BRENNER;;;
K1B;RUA ADELAÍDE STRESSER SCHELEDE -  35 - JARDIM SOCIAL;PR;M.PR.K1B;CURITIBA - ADELAIDE STRESSER SCHELEDER;;;
K2V;RUA NILO PEÇANHA -  3520 - PILARZINHO;PR;M.PR.K2V;CURITIBA - NILO PECANHA;;;
K3B;RUA RIO JARI 1745 BAIRRO ALTO - CURITIBA - CURITIBA;PR;M.PR.K3B;CURITIBA - BAIRRO ALTO 3;;;
K2T;RUA COLOMBO - 585;PR;M.PR.K2T;CURITIBA - FRANCISCO DE PAULA GUIMARAES;;;
K1G;RUA JERÔNIMO DE ALBUQUERQUE MARANHÃO -  108 - SANTO INACIO;PR;M.PR.K1G;CURITIBA - PROFESSOR ANGELO;;;
K1V;AVENIDA MANOEL RIBAS -  780 - MERCÊS;PR;M.PR.K1V;CURITIBA - RAQUEL PRADO;;;
K1Z;RUA PRESIDENTE FARIA -  334 ;PR;M.PR.K1Z;CURITIBA - PRESIDENTE FARIA;;;
K1C;RUA ARY BARROSO -  527 - BOA VISTA;PR;M.PR.K1C;CURITIBA - ARY BARROSO;;;
K3U;AVENIDA REPUBLICA ARGENTINA -  1927 - PORTÃO (SHOPPING ÁGUA VERDE);PR;M.PR.K3U;CURITIBA - SHOPPING AGUA VERDE INDOOR;;;
K1A;RUA XV DE NOVEMBRO -  2177 - ALTO DA XV;PR;M.PR.K1A;CURITIBA - SETE DE ABRIL;;;
K2I;RUA MARECHAL JOSÉ BERNARDINO BORMANN -  1492 - BIGORRILHO;PR;M.PR.K2I;CURITIBA - PADRE ANCHIETA;;;
K2G;RUA SALDANHA MARINHO -  490 - CENTRO;PR;M.PR.K2G;CURITIBA - SALDANHA MARINHO;;;
K3H;RUA VISC. DO RIO BRANCO -  803 - CENTRO;PR;M.PR.K3H;CURITIBA - VISCONDE DO RIO BRANCO;;;
K3F;RUA PADRE JOÃO WISLINSKI -  330 - SANTA CÂNDIDA;PR;M.PR.K3F;CURITIBA - PADRE JOAO WISLINSK;;;
K2U;AVENIDA PARANÁ -  3825 - SANTA CÂNDIDA;PR;M.PR.K2U;CURITIBA - MARIO BITENCOURT;;;
K3R;AVENIDA MANOEL RIBAS -  5657 - SANTA FELICIDADE;PR;M.PR.K3R;CURITIBA - FAMIGLIA FADANELLI;;;
K1Y;AVENIDA JOÃO GUALBERTO -  1740 - JUVEVÊ;PR;M.PR.K1Y;CURITIBA - JOAO GUALBERTO;;;
K2F;RUA PADRE ANCHIETA -  2540 - MERCÊS;PR;M.PR.K2F;CURITIBA - JERONIMO DURSKI;;;
K1F;RUA JOÃO LEAL -  301 - SÃO LOURENÇO;PR;M.PR.K1F;CURITIBA - JOAO LEAL;;;
KG3;AVENIDA JOÃO GUALBERTO - 623;PR;M.PR.KG3;CURITIBA - ALTO DA GLÓRIA 3;X;;
K2J;AVENIDA PARANÁ -  S/N - BACACHERI;PR;M.PR.K2J;CURITIBA - AVENIDA PARANA;;;
K2A;RUA EGON REINALDO HEIDINGER -  61 - CABRAL;PR;M.PR.K2A;CURITIBA - REINALDO EGON HEIDINGER;;;
K1X;RUA SENADOR SARAÍVA -  188 - SÃO FRANCISCO;PR;M.PR.K1X;CURITIBA - CELESTINO JUNIOR;;;
K2R;RUA MARTIM AFONSO -  1399-1271 - BIGORRILHO;PR;M.PR.K2R;CURITIBA - MARTIM AFONSO;;;
K0Z;ALAMEDA DOUTOR CARLOS DE CARVALHO -  771 - CENTRO;PR;M.PR.K0Z;CURITIBA - ALAMEDA DOUTOR CARLOS DE CARVALHO;;;
K2M;RUA PAULO DE TÁRSO MONTENEGRO -  68 - BAIRRO ALTO;PR;M.PR.K2M;CURITIBA - PAULO DE TARSO MONTENEGRO;;;
K1Q;RUA COMENDADOR SANTIAGO COLLE -  20 - AHÚ;PR;M.PR.K1Q;CURITIBA - ALBERTO FOLLONI;;;
K1U;AVENIDA PRESIDENTE AFFONSO CAMARGO -  849 - CRISTO REI;PR;M.PR.K1U;CURITIBA - PRESIDENTE AFFONSO CAMARGO;;;
K0B;RUA SAO PEDRO -  43 - CABRAL;PR;M.PR.K0B;CURITIBA - DR MANOEL PEDRO;;;
K1O;ALAMEDA DOM PEDRO II -  818 - BATEL;PR;M.PR.K1O;CURITIBA - ALAMEDA DOM PEDRO II;;;
KF5;RUA FRANCICSCO DALLALIBERA - 1505;PR;M.PR.KF5;CURITIBA - SANTA FELICIDADE 5;;;
K2Z;RUA MAUÁ - 425;PR;M.PR.K2Z;CURITIBA - UBALDINO DO AMARAL;NÃO;;
K2S;TV FREI CANECA - 73;PR;M.PR.K2S;CURITIBA - FREI CANECA;NÃO;;
K2P;RUA GINO PAROLIN - 50;PR;M.PR.K2P;CURITIBA - BRIGADEIRO FRANCO;NÃO;;
K3G;RUA MARIANO TORRES - 910;PR;M.PR.K3G;CURITIBA - MARIANO TORRES;NÃO;;
K0A;RUA REINALDINO SCHAFFENBERG DE QUADROS - 593;PR;M.PR.K0A;CURITIBA - REINALDINO;;;
K3Q;AVENIDA SILVA JARDIM - 1860;PR;M.PR.K3Q;CURITIBA - AVENIDA SILVA JARDIM;;;
KTU;RUA FELISBINO PASSOS 140 - CURITIBA;PR;M.PR.KTU;CURITIBA - CURITIBA ATUBA;;;
KVU;AVENIDA SETE DE SETEMBRO 4698 BATEL - BATEL - CURITIBA;PR;M.PR.KVU;CURITIBA - VISCONDE DE GUARAPUAVA;;;
KJR;AVENIDA VICTOR FERREIRA DO AMARAL -  2633 - CURITIBA;PR;M.PR.KJR;CURITIBA - JOCKEY PLAZA SHOPPING OUTDOOR;;;
K0C;RUA CONSELHEIRO DANTAS -  1891 - REBOUÇAS;PR;M.PR.K0C;CURITIBA - CONSELHEIRO DANTAS;;;
K0D;RUA DEPUTADO ATÍLIO DE ALMEIDA BARBOSA -  154 - BOA VISTA;PR;M.PR.K0D;CURITIBA - DEPUTADO ATÍLIO;;;
KB4;RUA LÚCIO RASERA - 674;PR;M.PR.KB4;CURITIBA - BIGORRILHO 4;;;
KZ3;RUA ANTONIO ESCORSIN  - 3211;PR;M.PR.KZ3;CURITIBA - SÃO BRAZ 3;;;
KRO;RUA IAPÓ -  1408 (RUA FRANCISCO NUNES;PR;M.PR.KRO;CURITIBA - VIVO PRADO VELHO;NÃO;;
KR3;AVENIDA SILVA JARDIM -  1172 - CENTRO;PR;M.PR.KR3;CURITIBA - REBOUÇAS 3;;;
KIO;RUA IMACULADA CONCEIÇAO 532 - Prado Velho - CURITIBA;PR;M.PR.KIO;CURITIBA - IMACULADA CONCEIÇÃO;;;
KYB;RUA RAYMUNDO BOM 91 - BOA VISTA - CURITIBA;PR;M.PR.KYB;CURITIBA - RAYMUNDO BON;;;
K4B;RUA PEDRO ELOI DE SOUZA S/N - DESCONHECIDO - CURITIBA;PR;M.PR.K4B;CURITIBA - BAIRRO ALTO 4;;;
KHM;RUA JUDITH MANOSSO 13 - BUTIATUVINHA - CURITIBA;PR;M.PR.KHM;CURITIBA - JUDITH MANOSSO;;;
KEF;AVENIDA PRESIDENTE AFFONSO CAMARGO - 455;PR;M.PR.KEF;CURITIBA - ESTAÇÃO RODOFERROVIÁRIA;;;
KIV;RUA PRESIDENTE RODRIGO OTÁVIO -  960 - HUGO LANGE;PR;M.PR.KIV;CURITIBA - ITUPAVA;;;
KT2;R ANTONIO ZANON Nº 1.616 - CURITIBA;PR;M.PR.KT2;Curitiba Tatuquara 2;;;
KUA;RUA EDUARDO PINTO DA ROCHA Nº 6.706 - CURITIBA;PR;M.PR.KUA;Curitiba Umbara 2;;;
KH3;Rua Padre Dehon - Nº 1029 (Cond. Residencial Bragança A - 164) - CURITIBA;PR;M.PR.KH3;Curitiba Hauer 3;;;
KSH;MAL FLORIANO PEIXOTO 4984 - CURITIBA;PR;M.PR.KSH;Curitiba Shopping Cidade;;;
KSP;AV PRESIDENDE KENNEDY - Nº 4121 - CURITIBA;PR;M.PR.KSP;CURITIBA SHOPPING PALLADIUM SISTEMA INDOOR;;;
KVO;AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA - 2600;PR;M.PR.KVO;Curitiba Volvo;;;
GT2;RUA 24 de Maio -  118 - Centro - Curitiba;PR;M.PR.GT2;Curitiba GVT;;;
K17;RUA IRMÃO LUIS VICENTE -  S/N;PR;M.PR.K17;Curitiba Universidade Federal;;;
K18;RUA RAUL POMPÉIA -  S/N;PR;M.PR.K18;Curitiba Cidade Industrial;;;
K19;RUA MEM DE SÁ - 162;PR;M.PR.K19;Curitiba Lindoia;;;
K20;RUA DOUTOR HAMILTON PORTUGAL PEREIRA - 87;PR;M.PR.K20;Curitiba Cajuru;;;
K25;INEPAR CONTORNO SUL - CURITIBA;PR;M.PR.K25;Curitiba Sul;;;
KAB;RUA BOA ESPERANÇA -  S/N;PR;M.PR.KAB;Curitiba - Alto Boqueirão;;;
KBP;RUA PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA - 908;PR;M.PR.KBP;Curitiba Park Shopping Barigui;;;
KCA;RUA PEDRO GUSSO - N° 2486 - CURITIBA;PR;M.PR.KCA;Curitiba Jardim Campo Alegre;;;
KCI;AVENIDA PREFEITO MAURÍCIO FRUET -  S/N;PR;M.PR.KCI;Curitiba Capão da Imbuia;;;
KCJ;ESTRADA DO GANCHINHO - Nº 1451 - CURITIBA;PR;M.PR.KCJ;Curitiba CT DO CAJU;;;
KCP;Rua Deputado Iracy Viana - Nº 307 - CURITIBA;PR;M.PR.KCP;CURITIBA - CAPÃO RASO 2;;;
KED;RUA EDUARDO SPRADA -  707/723;PR;M.PR.KED;Curitiba Eduardo Sprada II;X;;
KES;RUA EDUARDO SPRADA - 4046;PR;M.PR.KES;Curitiba Eduardo Sprada;X;;
KFA;Rua Omilio M. Soares - Nº 2530 - CURITIBA;PR;M.PR.KFA;CURITIBA - FANNY;;;
KHA;RUA FREDERICO MAUER - 1875;PR;M.PR.KHA;Curitiba Hauer;;;
KJ2; RUA JOÃO GUERINO FABRI - Nº 441 (QUADRA 33 - LOTE 1455) - CURITIBA;PR;M.PR.KJ2;CURITIBA CAJURU 2;;;
KJG;RUA DEPUTADO LEOBERTO LEAL - 55;PR;M.PR.KJG;Curitiba Jardim Guabirotuba- PUC;;;
KJT;Rua João Bettega - 696;PR;M.PR.KJT;Curitiba João Bettega;;;
KJZ;AV. PRESIDENTE ARTUR DA SILVA BERNARDES -   S/Nº;PR;M.PR.KJZ;CURITIBA PRAÇA JOÃO BAGOZZI 2;;;
KL2;R CAPITÃO LEÔNIDAS MARQUES - N° 1737/1756 - CURITIBA;PR;M.PR.KL2;Curitiba Leônidas Marques 2;;;
KLM;RUA CAPITÃO LEONIDAS MARQUES -  AO LADO DA COCA-COLA;PR;M.PR.KLM;Curitiba Leônidas Marques;;;
KLP;RUA JOÃO BETTEGA -  AO LADO DO POSTO ESSO;PR;M.PR.KLP;Curitiba Conj. Habitacional Luz dos Pinhais;X;;
KM2;R LUIZ CASAGRANDE - N° S/N - CURITIBA;PR;M.PR.KM2;Curitiba Campo Comprido 2;;;
KMS;RUA FRANCISCA KOLSOWSKI -  AO LADO DO 2;PR;M.PR.KMS;Curitiba Mossunguê;;;
KNL;Rua Afonso Grellmann - 369;PR;M.PR.KNL;Curitiba Nicola Pelanda;;;
KNV;Rua Doutor Luiz Losso Filho - Nº 787 - CURITIBA;PR;M.PR.KNV;CURITIBA NOVO MUNDO;;;
KOF;RUA PAULO DE FRONTIN - 636;PR;M.PR.KOF;Curitiba Vila Oficinas;X;;
KPI;RUA JOSÉ OSIRES BAGLIOLI -  472/ 484;PR;M.PR.KPI;Curitiba Pinheirinho 2;;;
KPM;RUA PAULO SETÚBAL - 3340;PR;M.PR.KPM;Curitiba Praça Menonitas;;;
KQ3;RUA PROFESSOR ULISSES VIEIRA - Nº 2060 - CURITIBA;PR;M.PR.KQ3;CURITIBA - SANTA QUITÉRIA 3;;;
KQB;RUA DES. ANTONIO DE PAULA AO LADO DO Nº1606 - nº S/N - CURITIBA;PR;M.PR.KQB;Curitiba Quartel Boqueirão;;;
KQT;R NELSON FERREIRA DA LUZ - N° 208 - CURITIBA;PR;M.PR.KQT;Curitiba Santa Quitéria 2;;;
KRS;RODOVIA BR 116 -  15739 ALTURA DO KM 103;PR;M.PR.KRS;Curitiba Capão Raso;X;;
KRV;R. Eng. Sady Souza -  Nº 481;PR;M.PR.KRV;CURITIBA - RIVIERA;;;
KSA;Av. Nossa Senhora de Lourdes -  63 - Jd. Das AméricaS;PR;M.PR.KSA;CURITIBA - SHOPPING JARDIM DAS AMÉRICAS;;;
KSC;RUA AGENOR ANTONIO RODRIGUES -  LOTE 01 DA QUADRA 58;PR;M.PR.KSC;Curitiba Sítio Cercado;X;;
KTA;AV. VICTOR FERREIRA DO AMARAL - 3174;PR;M.PR.KTA;CURITIBA TARUMÃ S2;;;
KTP;RODOVIA BR 116 -  KM 106 EM FRENTE A RUA ANDRÉ FERREIRA BARBOSA;PR;M.PR.KTP;Curitiba Term. Pinheirinho;X;;
KTQ;RUA GOUBER PINTO DIONÍSIO - 500;PR;M.PR.KTQ;Curitiba Tatuquara;;;
KUB;AV COMENDADOR FRANCO - N° 695 - CURITIBA;PR;M.PR.KUB;Curitiba Uberaba 2;;;
KUM;RODOVIA BR 116 -  KM 15;PR;M.PR.KUM;Curitiba Umbará;;;
KV2;Rua Maria Helena Brandão - LOTE 3 -  S/N;PR;M.PR.KV2;CURITIBA VOLVO 2;;X;
KWS;Av. Leonardo Wesolowski -  141 - Campo Comprido;PR;M.PR.KWS;CURITIBA WEST SIDE;;;
K22;RUA SIMÃO BRANTE -  S/N;PR;M.PR.K22;Curitiba Uberaba;X;;
K23;RUA IZAAC FERREIRA DA CRUZ -  S/N;PR;M.PR.K23;Curitiba 23 - Pinheirinho;;;
KFZ;CARLOZ KLENTZ - 1201;PR;M.PR.KFZ;Curitiba Fazendinha;X;;
KGB;RUA JOÃO CARLOS FIGUEIREDO - 156;PR;M.PR.KGB;Curitiba Guabirotuba;X;;
KPH;Rua Luiz Leopoldo Landal - 216;PR;M.PR.KPH;CURITIBA PPI BRT PINHEIRINHO;;;
KPT;RUA ROSALINO MAZZIOTTI - 35;PR;M.PR.KPT;Curitiba Portão;;;
KTI;Rua: Laudelino Ferreira Lopes  1033 - CURITIBA;PR;M.PR.KTI;CURITIBA TIM;;;
KSN;Estrada Delegado Bruno de Almeida - Nº 5700 - CURITIBA;PR;M.PR.KSN;CURITIBA - CAMPO DE SANTANA;;;
KT3;RUA CARLOS KLEMTZ - 69;PR;M.PR.KT3;CURITIBA  PORTÃO 3;;;
KP2;RUA ANTONIO PIETRUZA - 261;PR;M.PR.KP2;CURITIBA  PORTÃO 2;;;
KU3;Estrada Delegado Bruno de Almeida - Nº 3185 - CURITIBA;PR;M.PR.KU3;Curitiba - Umbará 3;;;
KUP;RUA PROFESSOR PEDRO VIRIATO P. SOUZA - Nº 5300 - BLOCO - CX DE ÁGUA   - CURITIBA;PR;M.PR.KUP;CURITIBA – UNIVERSIDADE POSITIVO;;;
KMO;RUA JOSÉ NICCO - Nº 641 - CURITIBA;PR;M.PR.KMO;CURITIBA - MOSSUNGUÊ 2;;;
1TM;AV. Marechal Floriano Peixoto - Nº S/N - CURITIBA;PR;M.PR.1TM;CURITIBA - TERMINAL CARMO SMALL CELL 1;;;
KBM;RUA DAS CARMELITAS - 341;PR;M.PR.KBM;CURITIBA - CANAL BELÉM;;;
KPR;R LAUDELINO FERREIRA LOPES - Nº 2862 - CURITIBA;PR;M.PR.KPR;CURITIBA - PINHEIRINHO;;;
1TA;AV PRESIDENTE AFFONSO CAMARGO - 4375;PR;M.PR.1TA;CURITIBA - TERMINAL CAPÃO DA IMBUIA SMALL CELL 1;;;
1TQ;AV MARECHAL FLORIANO PEIXOTO - 10247;PR;M.PR.1TQ;CURITIBA - TERMINAL BOQUEIRÃO SMALL CELL 1;;;
KTS;R MOREIRA SALES - Nº S/N - CURITIBA;PR;M.PR.KTS;CURITIBA - TERMINAL SÍTIO CERCADO;;;
1TR;AV REPUBLICA ARGENTINA - 5202;PR;M.PR.1TR;CURITIBA - TERMINAL CAPÃO RASO SMALL CELL 1;;;
1TS;RUA JOSE CLOVIS DE OLIVEIRA WEISHEIMER -  S/N;PR;M.PR.1TS;CURITIBA - TERMINAL OFICINAS SMALL CELL 1;;;
KS2;RUA PRESBITERO WALDEMIRO MIGUEL CIDRAL - 3920;PR;M.PR.KS2;CURITIBA - SITIO CERCADO 2;;;
1TN;RUA LOURIVAL WENDLER - 584;PR;M.PR.1TN;CURITIBA - TERMINAL CENTENÁRIO SMALL CELL 1;;;
KO2;RUA DESEMBARGADOR ANTONIO DE PAULA - CURITIBA;PR;M.PR.KO2;CURITIBA BOQUEIRÃO 2;;;
1TU;RUA RAUL POMPEIA - 3250;PR;M.PR.1TU;CURITIBA - TERMINAL CAUIÁ SMALL CELL 1;;;
KFD;RUA FRANCISCO DEROSSO - 5560;PR;M.PR.KFD;CURITIBA - FRANCISCO DEROSSO;;X;
KO3;RUA ANTONIO SCHIEBEL -  S/N;PR;M.PR.KO3;CURITIBA - BOQUEIRÃO 3;;;
1TI;RUA LEA MOREIRA DE SOUZA MOURA - 40;PR;M.PR.1TI;CURITIBA - TERMINAL CIC SMALL CELL 1;;;
KID;RUA ARTHUR MARTINS FRANCO - 2294;PR;M.PR.KID;CURITIBA  CIDADE INDUSTRIAL;;X;
KXM;RUA OMAR RAYMUNDO PICHETH - 519;PR;M.PR.KXM;CURITIBA - XAXIM;;;
1TT;INDEFINIDO - CURITIBA;PR;M.PR.1TT;CURITIBA - TERMINAL SITIO CERCADO SMALL CELL 1;;;
KD3;Rua Coronel Luiz José dos Santos - Nº S/N - CURITIBA;PR;M.PR.KD3;CURITIBA – CEL. LUIZ JOSÉ DOS SANTOS;;;
KLN;Rua Djalma Ferreira Maciel -  nº 824;PR;M.PR.KLN;CURITIBA - LINDÓIA;;;
KZG;Rua Eunice Bettini Bartoszeck -  nº 1037;PR;M.PR.KZG;CURITIBA - ZACARIAS GOMES;;;
1TH;AVENIDA MARECHAL FLORIANO PEIXOTO -  6170 - HAUER;PR;M.PR.1TH;CURITIBA - TERMINAL HAUER SMALL CELL 1;;;
1TK;RUA PROESSOR. PEDRO VIRIATO PARIGOT DE SOUZA - 3901;PR;M.PR.1TK;CURITIBA - TERMINAL CAMPO COMPRIDO SMALL CELL 1;;;
K2N;RUA MARCOS BERTOLDI - 103;PR;M.PR.K2N;CURITIBA - CAMPO DE SANTANA 2;;X;
KS3;RUA OLIVIO DOMINGOS LEONARDI - 602;PR;M.PR.KS3;CURITIBA - SITIO CERCADO 3;;;
KU4;RUA NICOLA PELLANDA - 8005;PR;M.PR.KU4;CURITIBA - UMBARÁ 4;;;
KD1;RUA EXALDO NICKEL - 470;PR;M.PR.KD1;CURITIBA - CANAL BELÉM 2;;;
KE1;RUA HAYTON DA SILVA PEREIRA 139 - CURITIBA;PR;M.PR.KE1;CURITIBA - PINHEIRÃO;;;
KVN;RUA ITACOLOMI 292 - CURITIBA;PR;M.PR.KVN;CURITIBA - VENTURA SHOPPING;;;
K2X;RUA DAVID TOWS - 705 - LOTES 23-A/24-A;PR;M.PR.K2X;CURITIBA - XAXIM 2;;;
K3T;RUA ENGENHEIRO EDUARDO AFONSO NADOLNY AO LADO DO N° 1267 - CURITIBA;PR;M.PR.K3T;CURITIBA - TATUQUARA 3;;;
KCE;RUA DEPUTADO NILSON RIBAS -  Nº 681/699;PR;M.PR.KCE;CURITIBA - CAMPINA DO SIQUEIRA;;;
KIP;AV. PRESIDENTE KENNEDY - 4121;PR;M.PR.KIP;CURITIBA - SHOPPING PALLADIUM INDOOR;;;
KMA;RUA SINKE FERREIRA - 1166;PR;M.PR.KMA;CURITIBA - JARDIM DAS AMÉRICAS;734;NÃO;
K3J;RUA COLOMBINA NAIDE - 299;PR;M.PR.K3J;CURITIBA - CAJURU 3;;;
K3X;RUA LAURO TAVARES RODRIGUES - 124;PR;M.PR.K3X;CURITIBA - XAXIM 3;;;
K3E;AVENIDA PRESIDENTE AFFONSO CAMARGO -  S/N;PR;M.PR.K3E;CURITIBA - ALBERTO SLUD;;;
K0I;RUA HUMBERTO HIGINO PAROLIN -  460 - XAXIM;PR;M.PR.K0I;CURITIBA - HUMBERTO HIGINO;;;
K0L;RUA JORGE COLERAUS BARBOSA -  897 - PINHEIRINHO;PR;M.PR.K0L;CURITIBA - JORGE COLERAUS;;;
K0N;RUA CYRO CORRÊIA PEREIRA -  667 - CIDADE INDUSTRIAL;PR;M.PR.K0N;CURITIBA - JUSCELINO KUBITSCHEK;;;
K0O;RUA DAVID TOWS -  1413 - XAXIM;PR;M.PR.K0O;CURITIBA - DAVID TOWS;;;
K0S;RUA OURIZONA -  2120 - SÍTIO CERCADO;PR;M.PR.K0S;CURITIBA - AGENOR ANTONIO;;;
K0U;RUA SEBASTIÃO MARCOS LUIZ -  1140 - CAJURU;PR;M.PR.K0U;CURITIBA - SEBASTIAO MARCOS LUIZ;;;
K1K;RUA TENENTE FRANCISCO FERREIRA DE SOUZA -  3048 - HAUER;PR;M.PR.K1K;CURITIBA - TENENTE FRANCISCO;;;
K2E;RUA PONTA GROSSA -  330  - PORTÃO;PR;M.PR.K2E;CURITIBA - MARANHAO;;;
K2K;RUA FREI HENRIQUE DE COIMBRA -  1870 - HAUER;PR;M.PR.K2K;CURITIBA - FREI HENRIQUE DE COIMBRA;;;
K2D;RUA DESEMBARGADOR ANTONIO DE PAULA -  963 - BOQUEIRÃO;PR;M.PR.K2D;CURITIBA - DESEMBARGADOR ANTONIO DE PAULA;;;
K3S;RUA RADIALISTA SOUZA MORENO -  355 - SÍTIO CERCADO;PR;M.PR.K3S;CURITIBA - ODINIR POLYDORO;;;
K2Q;RUA WALDEMIRO BLEY -  141 ;PR;M.PR.K2Q;CURITIBA - WALDOMIRO BLEY;;;
K1J;RUA IPIRANGA -  1008 - PINHEIRINHO;PR;M.PR.K1J;CURITIBA - IPIRANGA;;;
K1H;RUA ODENIR SILVEIRA - 266;PR;M.PR.K1H;CURITIBA - ODENIR SILVEIRA;;;
K3P;RUA MANDIRITUBA -  649 - SÍTIO CERCADO;PR;M.PR.K3P;CURITIBA - MANDIRITUBA;;;
K1D;RUA DOUTOR LIBANIO E CARDOSO -  60 - CIDADE INDUSTRIAL;PR;M.PR.K1D;CURITIBA - DOUTOR LIBANIO;;;
K2C;AVENIDA FREDERICO LAMBERTUCC -  S/N;PR;M.PR.K2C;CURITIBA - JOÃO BETTEGA;;;
K3D;RUA TENENTE TITO TEIXEIRA DE CASTRO -  1200 - BOQUEIRÃO;PR;M.PR.K3D;CURITIBA - TENENTE TITO TEIXEIRA;;;
K1I;RUA CORONEL ALFREDO FERREIRA DA COSTA -  753 - JARDIM DAS AMÉRICAS;PR;M.PR.K1I;CURITIBA - CORONEL ALFREDO;;;
K0R;ESTRADA VELHA DO BARIGUI -  1394 - CIDADE INDUSTRIAL;PR;M.PR.K0R;CURITIBA - ESTRADA VELHA DO BARIGUI;;;
K0J;RUA ALEXANDRE SALATA -  451 - LINDOIA;PR;M.PR.K0J;CURITIBA - ALEXANDRE SALATA;;;
KOT;RUA CELESTINO MESSING DE SIQUEIRA S/N CIDADE INDUSTRIAL DE CURITIBA - CURITIBA;PR;M.PR.KOT;CURITIBA - POSITIVO TECNOLOGIA;;;
K0V;RODOVIA BR-277 -  5001 - CIDADE INDUSTRIAL;PR;M.PR.K0V;CURITIBA - RODOVIA BR-277;;;
K0M;RUA FRANCISCO DE BASTOS -  60 - PINHEIRINHO;PR;M.PR.K0M;CURITIBA - FRANCISCO DE BASTOS;;;
K2L;RUA MONSENHOR IVO ZANLORENZI -  925 - CAMPINA DO SIQUEIRA;PR;M.PR.K2L;CURITIBA - MONSENHOR IVO ZANLORENZI;;;
K1M;RUA ATÍLIO BRUNETTI -  946 - CAPÃO RASO;PR;M.PR.K1M;CURITIBA - ATÍLIO BRUNETTI;;;
K1R;AVENIDA COMANDANTE FRANCO -  2348 - GUABIROTUBA;PR;M.PR.K1R;CURITIBA - COMENDADOR FRANCO;;;
K1T;AVENIDA DA REPÚBLICA -  6464 - GUAIRA;PR;M.PR.K1T;CURITIBA - AVENIDA DA REPUBLICA;;;
K1S;RUA PROFESSOR ORLANDO ALVES CHAVES -  640 - PORTÃO;PR;M.PR.K1S;CURITIBA - PROFESSOR ORLANDO;;;
K0T;AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES -  1142 - PORTÃO;PR;M.PR.K0T;CURITIBA - PRESIDENTE ARTHUR;;;
K1L;RUA DOUTOT MANOEL LINHARES DE LACERDA -  84 - CAPÃO RASO;PR;M.PR.K1L;CURITIBA - DOUTOR MANOEL LINHARES;;;
K2Y;RUA JOÃO ALENCAR GUIMARÃES -  110 - SANTA QUITERIA;PR;M.PR.K2Y;CURITIBA - JOAO ALENCAR GUIMARAES;;;
K1N;RUA NICANOR ACYR MILANO -  10 - UBERABA;PR;M.PR.K1N;CURITIBA - SENADOR SALGADO FILHO;;;
K2O;RUA DAS CARMELITAS -  3259 - HAUER;PR;M.PR.K2O;CURITIBA - WALDEMAR LOUREIRO;;;
KT4;RUA DR. CEZAR PERNETTA -  S/Nº;PR;M.PR.KT4;CURITIBA - TATUQUARA 4;;;
KU5;RUA JOÃO SIKORA ESQUINA RUA HERMÍNIO NIC -  CURITIBA;PR;M.PR.KU5;CURITIBA - UMBARÁ 5;;;
KL3;RUA EDUARDO PINTO DA ROCHA -  1340 - CURITIBA;PR;M.PR.KL3;CURITIBA - ALTO BOQUEIRÃO 2;;;
