CJT;RUA PRESIDENTE HUMBERTO ALENCAR CASTELO BRANCO -  S/N;PR;M.PR.CJT;CAMPINA GRANDE DO SUL - JOÃO TREVISAN;;;
C0A;RUA CORONEL MONTEIRO - 799;PR;M.PR.C0A;CAMPINA GRANDE DO SUL - JARDIM DA COLINA;;;
CXN;R. ANDRÉ VALENGA - 85;PR;M.PR.CXN;Campo do Tenente;;;
C0B;RUA MARIA CLARA BRANDÃO TESSEROLE - 97;PR;M.PR.C0B;CAMPO DO TENENTE - CENTRO;NÃO;;
CFT;AV TRITEC - Nº S/N (FIAT) - CAMPO LARGO;PR;M.PR.CFT;CAMPO LARGO FIAT;;;
CLG;RUA DOM PEDRO II -  S/N;PR;M.PR.CLG;CAMPO LARGO  CENTRO;X;;
LGB;RUA DAS ORQUIDEAS -  S/N;PR;M.PR.LGB;CAMPO LARGO  Bom Jesus;;;
LGO;BR 277 -  KM 114;PR;M.PR.LGO;CAMPO LARGO  Rondinha;;;
LGR;RODOVIA BR 277 -  KM 107;PR;M.PR.LGR;CAMPO LARGO  BR 277;;;
CSV; Trav. Miguel Czlusniak - Nº 275 - CAMPO LARGO;PR;M.PR.CSV;CAMPO LARGO - SÃO VICENTE ;;;
CLE;RUA PEDRO MASSUQUETO - 475;PR;M.PR.CLE;CAMPO LARGO - JARDIM ESMERALDA;;;
CLR;RUA VEREADOR AUGUSTINHO CUNICO - 645;PR;M.PR.CLR;CAMPO LARGO - RONDINHA;;;
CL3;RUA PALMARES - 176;PR;M.PR.CL3;CAMPO LARGO 3;;;
CLS;RUA ANTONIO BIZETTO (LOTE 13) -  S/N;PR;M.PR.CLS;CAMPO LARGO - SÃO JOSÉ;;;
1IA; - CAMPO LARGO;PR;M.PR.1IA;CAMPO LARGO - FIAT SMALL CELL 3;;;
1IF; - CAMPO LARGO;PR;M.PR.1IF;CAMPO LARGO - FIAT SMALL CELL 2;;;
1IT; - CAMPO LARGO;PR;M.PR.1IT;CAMPO LARGO - FIAT SMALL CELL 1;;;
D0F;RUA MIGUEL JÚLIO -  S/N - JARDIM BELA VISTA;PR;M.PR.D0F;CAMPO LARGO - JARDIM ITAQUI;;;
C0E;RUA VITÓRIO BUCH -  531 - BOM JESUS;PR;M.PR.C0E;CAMPO LARGO - VITÓRIO BURCH;;;
C0G;RUA VICENTE NALEPA -  676 - VILA DOM PEDRO;PR;M.PR.C0G;CAMPO LARGO - VILA DOM PEDRO II;;;
C0C;TRAVESSA EMILIO BUSMAYER -  S/N - JARDIM BUSMAYER;PR;M.PR.C0C;CAMPO LARGO - JARDIM BUSMAYER;;;
C0D;RUA ALCIDES VALENTINO ZANELLA -  2034 - JARDIM RONDINHA;PR;M.PR.C0D;CAMPO LARGO - RONDINHA 2;;;
CVT;RUA ANTONIO GUAREZI -  333 - VILA TORRES I;PR;M.PR.CVT;CAMPO LARGO - VILA TORRES;;;
CMG;PROLONGAMENTO DA RUA ANDRE ALEIZ -  S/N;PR;M.PR.CMG;Campo Magro;;;
CMP;RUA LUIZ FRANCISCO PAIZE - 260;PR;M.PR.CMP;CAMPO MAGRO - PASSAÚNA;;;
