WKT;UF;Área Tarifação;sigla;UF_Sigla;Sigla Prisma;Unidade de Negócio;Região;CM Ability;Nome do Site;Endereço;;Município;Latitude;Longitude;Fiscal responsável Vivo;Coordenador Vivo;Coordenador responsável Ability;Classificação Contratual;Modalidade;Tipo de Site;Site ao qual está associado;Detentor do site (conforme Science ou atualizações de campo);Detentor do gabinete (conforme PMTS);Sequencial Science;Monoerb;Site com GMG;Site com GPON da Rede Fixa;;;
POINT (-49.254422 -25.5448);PR;41.0;KSC;PR_KSC;M.PR.KSC;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba Sítio Cercado;RUA AGENOR ANTONIO RODRIGUES; LOTE 01 DA QUADRA 58;CURITIBA;-255.448;-49.254.422;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;SBA;;907;692;NÃO;;X;;
POINT (-49.2095 -25.431789);PR;41.0;KTA;PR_KTA;M.PR.KTA;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA TARUMÃ S2;AV. VICTOR FERREIRA DO AMARAL;3174;CURITIBA;-25.431.789;-492.095;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CLARO;;920;514;NÃO;;;;
POINT (-49.293889 -25.5125);PR;41.0;KTP;PR_KTP;M.PR.KTP;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba Term. Pinheirinho;RODOVIA BR 116; KM 106 EM FRENTE A RUA ANDRÉ FERREIRA BARBOSA;CURITIBA;-255.125;-49.293.889;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;SBA;;907;642;NÃO;;X;;
POINT (-49.306797 -25.549055);PR;41.0;KTQ;PR_KTQ;M.PR.KTQ;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba Tatuquara;RUA GOUBER PINTO DIONÍSIO;500;CURITIBA;-25.549.055;-49.306.797;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ K2;Sob demanda - Básica;ERB / Site de TX;;VIVO;;908;316;NÃO;;;;
POINT (-49.214972 -25.490611);PR;41.0;KUB;PR_KUB;M.PR.KUB;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba Uberaba 2;AV COMENDADOR FRANCO - N° 695;CURITIBA;-25.490.611;-49.214.972;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TELXIUS;;969;972;NÃO;;;;;
POINT (-49.315833 -25.591111);PR;41.0;KUM;PR_KUM;M.PR.KUM;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba Umbará;RODOVIA BR 116; KM 15;CURITIBA;-25.591.111;-49.315.833;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC (BR TOWER);;907;788;NÃO;;;;
POINT (-49.362417 -25.464639);PR;41.0;KV2;PR_KV2;M.PR.KV2;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA VOLVO 2;Rua Maria Helena Brandão - LOTE 3; S/N;CURITIBA;-25.464.639;-49.362.417;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;CSS - CELL SITE SOLUTIONS;;1;23;774;NÃO;;X;
POINT (-49.334444 -25.457222);PR;41.0;KWS;PR_KWS;M.PR.KWS;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA WEST SIDE;Av. Leonardo Wesolowski; 141 - Campo Comprido;CURITIBA;-25.457.222;-49.334.444;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;ATC;;965;652;NÃO;;;;
POINT (-49.22748 -25.48738);PR;41.0;K22;PR_K22;M.PR.K22;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba Uberaba;RUA SIMÃO BRANTE; S/N;CURITIBA;-2.548.738;-4.922.748;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;TELXIUS;;907;690;NÃO;;X;;
POINT (-49.279722 -25.536944);PR;41.0;K23;PR_K23;M.PR.K23;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba 23 - Pinheirinho;RUA IZAAC FERREIRA DA CRUZ; S/N;CURITIBA;-25.536.944;-49.279.722;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ K1;Sob demanda - Completa;ERB / Site de TX;;VIVO;;907;666;NÃO;;;;
POINT (-49.321947 -25.476619);PR;41.0;KFZ;PR_KFZ;M.PR.KFZ;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba Fazendinha;CARLOZ KLENTZ;1201;CURITIBA;-25.476.619;-49.321.947;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;ATC (BR TOWER);;907;695;NÃO;;X;;
POINT (-49.238611 -25.46);PR;41.0;KGB;PR_KGB;M.PR.KGB;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba Guabirotuba;RUA JOÃO CARLOS FIGUEIREDO;156;CURITIBA;-25.46;-49.238.611;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;TELXIUS;;907;645;NÃO;;X;;
POINT (-49.296114 -25.489994);PR;41.0;KPH;PR_KPH;M.PR.KPH;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA PPI BRT PINHEIRINHO;Rua Luiz Leopoldo Landal;216;CURITIBA;-25.489.994;-49.296.114;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ K2;Sob demanda - Básica;ERB / Site de TX;;VIVO;;926;211;NÃO;;;;
POINT (-49.291936 -25.482788);PR;41.0;KPT;PR_KPT;M.PR.KPT;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba Portão;RUA ROSALINO MAZZIOTTI;35;CURITIBA;-25.482.788;-49.291.936;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;TELXIUS;;907;683;NÃO;;;;
POINT (-49.304639 -25.500861);PR;41.0;KTI;PR_KTI;M.PR.KTI;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA TIM;Rua: Laudelino Ferreira Lopes  1033;CURITIBA;-25.500.861;-49.304.639;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ K;Custo Fixo;ERB / Site de TX;;VIVO;;949;754;NÃO;;;;;
POINT (-49.331333 -25.606278);PR;41.0;KSN;PR_KSN;M.PR.KSN;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - CAMPO DE SANTANA;Estrada Delegado Bruno de Almeida - Nº 5700;CURITIBA;-25.606.278;-49.331.333;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CSS - CELL SITE SOLUTIONS;;1;5;934;NÃO;;;;
POINT (-49.311722 -25.477861);PR;41.0;KT3;PR_KT3;M.PR.KT3;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA  PORTÃO 3;RUA CARLOS KLEMTZ;69;CURITIBA;-25.477.861;-49.311.722;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CSS - CELL SITE SOLUTIONS;;1;31;15;NÃO;;;
POINT (-49.292525 -25.468928);PR;41.0;KP2;PR_KP2;M.PR.KP2;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA  PORTÃO 2;RUA ANTONIO PIETRUZA;261;CURITIBA;-25.468.928;-49.292.525;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;QMC TELECOM;;1;25;855;NÃO;;;
POINT (-49.316472 -25.587861);PR;41.0;KU3;PR_KU3;M.PR.KU3;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Curitiba - Umbará 3;Estrada Delegado Bruno de Almeida - Nº 3185;CURITIBA;-25.587.861;-49.316.472;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;BTC;;998;535;NÃO;;;;;
POINT (-49.361353 -25.447028);PR;41.0;KUP;PR_KUP;M.PR.KUP;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA – UNIVERSIDADE POSITIVO;RUA PROFESSOR PEDRO VIRIATO P. SOUZA - Nº 5300 - BLOCO - CX DE ÁGUA  ;CURITIBA;-25.447.028;-49.361.353;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;SBA (HIGHLINE);;1;60;244;NÃO;;;;
POINT (-49.335333 -25.436111);PR;41.0;KMO;PR_KMO;M.PR.KMO;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - MOSSUNGUÊ 2;RUA JOSÉ NICCO - Nº 641;CURITIBA;-25.436.111;-49.335.333;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;18;454;NÃO;;;;
POINT (-49.238108 -25.500747);PR;41.0;1TM;PR_1TM;M.PR.1TM;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL CARMO SMALL CELL 1;AV. Marechal Floriano Peixoto - Nº S/N;CURITIBA;-25.500.747;-49.238.108;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ K2;Sob demanda - Básica;SmallCell;;VIVO;;1;62;133;NÃO;;;;
POINT (-49.242444 -25.476955);PR;41.0;KBM;PR_KBM;M.PR.KBM;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - CANAL BELÉM;RUA DAS CARMELITAS;341;CURITIBA;-25.476.955;-49.242.444;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;QMC TELECOM;;1;27;676;NÃO;;;
POINT (-49.304569 -25.517478);PR;41.0;KPR;PR_KPR;M.PR.KPR;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - PINHEIRINHO;R LAUDELINO FERREIRA LOPES - Nº 2862;CURITIBA;-25.517.478;-49.304.569;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;SBA;;967;845;NÃO;;;;;
POINT (-49.220872 -25.440114);PR;41.0;1TA;PR_1TA;M.PR.1TA;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL CAPÃO DA IMBUIA SMALL CELL 1;AV PRESIDENTE AFFONSO CAMARGO;4375;CURITIBA;-25.440.114;-49.220.872;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;SmallCell;;SKYSITES;;1;62;201;NÃO;;;
POINT (-49.230219 -25.516);PR;41.0;1TQ;PR_1TQ;M.PR.1TQ;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL BOQUEIRÃO SMALL CELL 1;AV MARECHAL FLORIANO PEIXOTO;10247;CURITIBA;-25.516;-49.230.219;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;SmallCell;;SKYSITES;;1;62;162;NÃO;;;
POINT (-49.262342 -25.533356);PR;41.0;KTS;PR_KTS;M.PR.KTS;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL SÍTIO CERCADO;R MOREIRA SALES - Nº S/N;CURITIBA;-25.533.356;-49.262.342;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;SBA;;977;470;NÃO;;;;;
POINT (-49.293931 -25.491472);PR;41.0;1TR;PR_1TR;M.PR.1TR;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL CAPÃO RASO SMALL CELL 1;AV REPUBLICA ARGENTINA;5202;CURITIBA;-25.491.472;-49.293.931;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;SmallCell;;SKYSITES;;1;62;142;NÃO;;;
POINT (-49.214928 -25.452489);PR;41.0;1TS;PR_1TS;M.PR.1TS;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL OFICINAS SMALL CELL 1;RUA JOSE CLOVIS DE OLIVEIRA WEISHEIMER; S/N;CURITIBA;-25.452.489;-49.214.928;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;SmallCell;;SKYSITES;;1;62;143;NÃO;;;
POINT (-49.255913 -25.5578);PR;41.0;KS2;PR_KS2;M.PR.KS2;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - SITIO CERCADO 2;RUA PRESBITERO WALDEMIRO MIGUEL CIDRAL;3920;CURITIBA;-255.578;-49.255.913;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;977;444;NÃO;;;;
POINT (-49.208703 -25.468872);PR;41.0;1TN;PR_1TN;M.PR.1TN;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL CENTENÁRIO SMALL CELL 1;RUA LOURIVAL WENDLER;584;CURITIBA;-25.468.872;-49.208.703;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;SmallCell;;SKYSITES;;1;62;134;NÃO;;;
POINT (-49.241683 -25.521597);PR;41.0;KO2;PR_KO2;M.PR.KO2;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA BOQUEIRÃO 2;RUA DESEMBARGADOR ANTONIO DE PAULA;CURITIBA;-25.521.597;-49.241.683;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;61;794;NÃO;;;;
POINT (-49.350611 -25.483722);PR;41.0;1TU;PR_1TU;M.PR.1TU;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL CAUIÁ SMALL CELL 1;RUA RAUL POMPEIA;3250;CURITIBA;-25.483.722;-49.350.611;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;SmallCell;;PHOENIX;;1;62;146;NÃO;;;
POINT (-49.243278 -25.531556);PR;41.0;KFD;PR_KFD;M.PR.KFD;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - FRANCISCO DEROSSO;RUA FRANCISCO DEROSSO;5560;CURITIBA;-25.531.556;-49.243.278;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;ATC;;1;62;526;NÃO;;X;
POINT (-49.233028 -25.497389);PR;41.0;KO3;PR_KO3;M.PR.KO3;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - BOQUEIRÃO 3;RUA ANTONIO SCHIEBEL; S/N;CURITIBA;-25.497.389;-49.233.028;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;62;663;NÃO;;;
POINT (-49.323975 -25.511525);PR;41.0;1TI;PR_1TI;M.PR.1TI;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL CIC SMALL CELL 1;RUA LEA MOREIRA DE SOUZA MOURA;40;CURITIBA;-25.511.525;-49.323.975;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;SmallCell;;K2 TOWER;;1;62;135;NÃO;;;
POINT (-49.335278 -25.491528);PR;41.0;KID;PR_KID;M.PR.KID;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA  CIDADE INDUSTRIAL;RUA ARTHUR MARTINS FRANCO;2294;CURITIBA;-25.491.528;-49.335.278;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ K;Custo Fixo;ERB / Site de TX;;VIVO;;1;26;144;NÃO;;X;
POINT (-49.279092 -25.508719);PR;41.0;KXM;PR_KXM;M.PR.KXM;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - XAXIM;RUA OMAR RAYMUNDO PICHETH;519;CURITIBA;-25.508.719;-49.279.092;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CSS - CELL SITE SOLUTIONS;;1;64;863;NÃO;;;
POINT (-49.268988 -25.534633);PR;41.0;1TT;PR_1TT;M.PR.1TT;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL SITIO CERCADO SMALL CELL 1;INDEFINIDO;CURITIBA;-25.534.633;-49.268.988;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;SmallCell;;K2 TOWER;;1;62;624;NÃO;;;;
POINT (-49.254033 -25.500992);PR;41.0;KD3;PR_KD3;M.PR.KD3;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA – CEL. LUIZ JOSÉ DOS SANTOS;Rua Coronel Luiz José dos Santos - Nº S/N;CURITIBA;-25.500.992;-49.254.033;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L1;Sob demanda - Completa;ERB / Site de TX;;ATC;;1;64;851;NÃO;;;;
POINT (-49.281366 -25.4821);PR;41.0;KLN;PR_KLN;M.PR.KLN;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - LINDÓIA;Rua Djalma Ferreira Maciel; nº 824;CURITIBA;-254.821;-49.281.366;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L1;Sob demanda - Completa;ERB / Site de TX;;ATC;;1;64;351;NÃO;;;
POINT (-49.204119 -25.487636);PR;41.0;KZG;PR_KZG;M.PR.KZG;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - ZACARIAS GOMES;Rua Eunice Bettini Bartoszeck; nº 1037;CURITIBA;-25.487.636;-49.204.119;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L1;Sob demanda - Completa;ERB / Site de TX;;ATC;;1;64;350;NÃO;;;
POINT (-49.247372 -25.4819);PR;41.0;1TH;PR_1TH;M.PR.1TH;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL HAUER SMALL CELL 1;AVENIDA MARECHAL FLORIANO PEIXOTO; 6170 - HAUER;CURITIBA;-254.819;-49.247.372;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;SmallCell;;SBA;;1;62;137;NÃO;;;
POINT (-49.346377 -25.441325);PR;41.0;1TK;PR_1TK;M.PR.1TK;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TERMINAL CAMPO COMPRIDO SMALL CELL 1;RUA PROESSOR. PEDRO VIRIATO PARIGOT DE SOUZA;3901;CURITIBA;-25.441.325;-49.346.377;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;SmallCell;;K2 TOWER;;1;62;613;NÃO;;;
POINT (-49.33749 -25.58345);PR;41.0;K2N;PR_K2N;M.PR.K2N;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - CAMPO DE SANTANA 2;RUA MARCOS BERTOLDI;103;CURITIBA;-2.558.345;-4.933.749;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;SBA;;1;83;870;NÃO;;X;
POINT (-49.264028 -25.549);PR;41.0;KS3;PR_KS3;M.PR.KS3;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - SITIO CERCADO 3;RUA OLIVIO DOMINGOS LEONARDI;602;CURITIBA;-25.549;-49.264.028;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;PHOENIX;;1;83;890;NÃO;;;
POINT (-49.27575 -25.592722);PR;41.0;KU4;PR_KU4;M.PR.KU4;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - UMBARÁ 4;RUA NICOLA PELLANDA;8005;CURITIBA;-25.592.722;-4.927.575;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CSS - CELL SITE SOLUTIONS;;1;83;729;NÃO;;;
POINT (-49.215278 -25.503167);PR;41.0;KD1;PR_KD1;M.PR.KD1;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - CANAL BELÉM 2;RUA EXALDO NICKEL;470;CURITIBA;-25.503.167;-49.215.278;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;64;847;NÃO;;;
POINT (-49.216944 -25.440472);PR;41.0;KE1;PR_KE1;M.PR.KE1;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - PINHEIRÃO;RUA HAYTON DA SILVA PEREIRA 139;CURITIBA;-25.440.472;-49.216.944;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;SBA;;1;64;722;NÃO;;;;
POINT (-49.2947 -25.4788);PR;41.0;KVN;PR_KVN;M.PR.KVN;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - VENTURA SHOPPING;RUA ITACOLOMI 292;CURITIBA;-254.788;-492.947;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;PHOENIX;;1;84;349;NÃO;;;;
POINT (-49.26141 -25.5192);PR;41.0;K2X;PR_K2X;M.PR.K2X;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - XAXIM 2;RUA DAVID TOWS;705 - LOTES 23-A/24-A;CURITIBA;-255.192;-4.926.141;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CSS;;1;84;608;NÃO;;;
POINT (-49.339 -25.54986);PR;41.0;K3T;PR_K3T;M.PR.K3T;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - TATUQUARA 3;RUA ENGENHEIRO EDUARDO AFONSO NADOLNY AO LADO DO N° 1267;CURITIBA;-2.554.986;-49.339;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;SBA TORRES;;1;83;871;NÃO;;;;
POINT (-49.311142 -25.444383);PR;41.0;KCE;PR_KCE;M.PR.KCE;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - CAMPINA DO SIQUEIRA;RUA DEPUTADO NILSON RIBAS; Nº 681/699;CURITIBA;-25.444.383;-49.311.142;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TELXIUS => ATC;;1;83;896;NÃO;;;
POINT (-49.29065 -25.477592);PR;41.0;KIP;PR_KIP;M.PR.KIP;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - SHOPPING PALLADIUM INDOOR;AV. PRESIDENTE KENNEDY;4121;CURITIBA;-25.477.592;-4.929.065;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;PHOENIX;;1;84;454;NÃO;;;
POINT (-49.228822 -25.466253);PR;41.0;KMA;PR_KMA;M.PR.KMA;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - JARDIM DAS AMÉRICAS;RUA SINKE FERREIRA;1166; QDA 42; LOTE 01;CURITIBA;-25.466.253;-49.228.822;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;QMC;;1;83;734;NÃO;
POINT (-49.20123 -25.46053);PR;41.0;K3J;PR_K3J;M.PR.K3J;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - CAJURU 3;RUA COLOMBINA NAIDE;299;CURITIBA;-2.546.053;-4.920.123;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;;;1;84;957;NÃO;;;
POINT (-49.262892 -25.507553);PR;41.0;K3X;PR_K3X;M.PR.K3X;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;CURITIBA - XAXIM 3;RUA LAURO TAVARES RODRIGUES;124;CURITIBA;-25.507.553;-49.262.892;Ronaldo Vargas;Davi Zaneli Marchetti;ELENICE CONRAD;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CSS;;1;84;609;NÃO;;;
